group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count
1,1.0,147,15_7,dose_rate,0.995,6.0,200.0,80.0,38.66,9.521,1.032173466019745,9.827323569973993
1,1.0,148,15_8,dose_rate,0.995,6.0,200.0,80.0,39.49,10.45,1.010371312956725,10.558380220397776
1,1.0,149,15_9,dose_rate,0.995,6.0,200.0,80.0,39.57,9.899,1.0083184672452945,9.98134450726117
1,1.0,150,15_10,dose_rate,0.995,6.0,200.0,80.0,39.3,9.516,1.0152804848704653,9.661409094027348
2,1.0,151,16_1,dose_rate,0.995,6.0,200.0,60.0,40.42,9.717,0.9677792945687612,9.403911405324653
2,1.0,152,16_2,dose_rate,0.995,6.0,200.0,60.0,36.1,9.839,1.0843630607398826,10.669048154619706
2,1.0,153,16_3,dose_rate,0.995,6.0,200.0,60.0,48.04,10.97,0.8135046273629942,8.924145762172047
2,1.0,154,16_4,dose_rate,0.995,6.0,200.0,60.0,38.39,9.825,1.0192745026755348,10.01437198878713
2,1.0,155,16_5,dose_rate,0.995,6.0,200.0,60.0,38.0,8.984,1.029801697584302,9.25173845109737
2,1.0,156,16_6,dose_rate,0.995,6.0,200.0,0.0,37.85,0.5108,1.0339087511468084,0.5281205900857897
2,1.0,157,16_7,dose_rate,0.995,6.0,200.0,0.0,38.02,0.5259,1.0292565544667793,0.5412860219940793
2,1.0,158,16_8,dose_rate,0.995,6.0,200.0,0.0,39.57,0.5849,0.9886944276077012,0.5782873707077444
2,1.0,159,16_9,dose_rate,0.995,6.0,200.0,0.0,39.97,0.8769,0.9787405351096645,0.8582575752376649
2,1.0,160,16_10,dose_rate,0.995,6.0,200.0,0.0,41.15,0.7336,0.9505106025138551,0.6972945780041642
2,1.0,161,17_1,dose_rate,0.995,10.0,200.0,2400.0,40.27,10.33,0.9714056595125333,10.034620462764469
2,1.0,162,17_2,dose_rate,0.995,10.0,200.0,2400.0,38.49,9.684,1.016609800077146,9.84484930394708
2,1.0,163,17_3,dose_rate,0.995,10.0,200.0,2400.0,38.48,9.903,1.01687564320003,10.070119494609898
2,1.0,164,17_4,dose_rate,0.995,10.0,200.0,2400.0,41.72,10.21,0.9374494063323238,9.571358438653027
2,1.0,165,17_5,dose_rate,0.995,10.0,200.0,2400.0,38.03,9.589,1.0289841992863613,9.866929486956918
2,1.0,169,17_9,dose_rate,0.995,10.0,200.0,2000.0,40.08,9.782,0.9760382548220695,9.547606208669484
2,1.0,170,17_10,dose_rate,0.995,10.0,200.0,2000.0,38.64,11.29,1.0126387680108115,11.432691690842061
2,1.0,171,18_1,dose_rate,0.995,10.0,200.0,2000.0,39.85,9.557,0.9817055943873517,9.38216036555992
2,1.0,173,18_3,dose_rate,0.995,10.0,200.0,2000.0,42.92,9.376,0.9110924754693366,8.5424030500005
